SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-7-2022,Single Family Residential,33 Magpie Ln,Levittown,NY,11756,618999,4,2.0,Levittown,1865,,1950,18,332,,Pending,,,https://www.redfin.com/NY/Levittown/33-Magpie-Ln-11756/home/20365468,OneKey,H6210056,N,Y,40.7432779,-73.5254877
MLS Listing,,Single Family Residential,179 Springtime Ln N,Levittown,NY,11756,699900,4,2.0,Levittown,,6000,1951,19,,,Active,January-15-2023 12:00 PM,January-15-2023 02:00 PM,https://www.redfin.com/NY/Levittown/179-Springtime-Ln-N-11756/home/20315162,OneKey,3447690,N,Y,40.7116517,-73.5055179
PAST SALE,,Single Family Residential,89 Woodcock Ln,Levittown,NY,11756,599000,3,1.5,Levittown,,6000,1950,19,,,Pending,,,https://www.redfin.com/NY/Levittown/89-Woodcock-Ln-11756/home/20367425,OneKey,3444049,N,Y,40.7379006,-73.5264909
PAST SALE,October-27-2022,Single Family Residential,35 Buttercup Ln,Levittown,NY,11756,499000,3,1.0,Levittown,1087,6000,1949,19,459,,Pending,,,https://www.redfin.com/NY/Levittown/35-Buttercup-Ln-11756/home/20368978,OneKey,3445058,N,Y,40.7356296,-73.5314711
MLS Listing,,Single Family Residential,25 Green Ln,Levittown,NY,11756,619990,3,1.5,Levittown,1228,6000,1948,20,505,,Active,,,https://www.redfin.com/NY/Levittown/25-Green-Ln-11756/home/20311908,OneKey,3449164,N,Y,40.7158057,-73.512776
PAST SALE,August-18-1988,Single Family Residential,147 Sprucewood Dr,Levittown,NY,11756,539000,4,2.0,Levittown,,6600,1948,20,,,Pending,,,https://www.redfin.com/NY/Levittown/147-Sprucewood-Dr-11756/home/20307584,OneKey,3419223,N,Y,40.7078735,-73.511079
PAST SALE,April-4-1991,Single Family Residential,201 Center Ln,Levittown,NY,11756,515000,3,1.0,Levittown,1700,6000,1948,20,303,,Pending,,,https://www.redfin.com/NY/Levittown/201-Center-Ln-11756/home/20315910,OneKey,3442429,N,Y,40.7138686,-73.5240508
PAST SALE,,Single Family Residential,6 Cattle Ln,Levittown,NY,11756,599000,5,3.0,Levittown,2400,6600,1949,20,250,,Pending,,,https://www.redfin.com/NY/Levittown/6-Cattle-Ln-11756/home/20355391,OneKey,3436498,N,Y,40.7275004,-73.513846
PAST SALE,November-6-1992,Single Family Residential,61 Swing Ln,Levittown,NY,11756,599000,4,2.0,Levittown,1574,6000,1948,22,381,,Pending,,,https://www.redfin.com/NY/Levittown/61-Swing-Ln-11756/home/20309113,OneKey,3442844,N,Y,40.7110959,-73.5072074
PAST SALE,August-29-2022,Single Family Residential,184 Sprucewood Dr,Levittown,NY,11756,649000,5,2.0,Levittown,1798,8000,1948,23,361,,Pending,,,https://www.redfin.com/NY/Levittown/184-Sprucewood-Dr-11756/home/20312789,OneKey,3444296,N,Y,40.7072977,-73.5091863
